FBX Name,Source,Width,Height,Depth,Scale,Description
arch,halloween,4.218442,4.413949,0.769877,0.6,"Arch - A grayscale, stylized archway with two extended legs."
arch_gate,halloween,4.218442,4.413949,0.769877,0.6,"Arch Gate - A grayscale, decorative archway with gate details resembling wrought iron."
armchair,furniture,1.8,1.22406,1.6,0.7,Armchair - A simple blue armchair with a modern design.
armchair_pillows,furniture,1.8,1.22406,1.6,0.7,Armchair with Pillows - A tan armchair featuring a minimalist design and a blue pillow.
barrel,medieval,0.2014764,0.2117121,0.2014764,6,Barrel - A wooden barrel with metal bands
Barrel_A,prototype,1,1,1,0.75,Barrel A - A red metallic barrel
Barrel_B,prototype,1,1,1,0.75,Barrel B - A yellow metallic barrel
Barrel_C,prototype,1,1,1,0.75,Barrel B - A blue metallic barrel
barrel_large,dungeon,1.8,2,1.8,0.6,"Large Barrel - A large, brown barrel with reinforced bands and a closed top."
barrel_large_decorated,dungeon,1.937957,2.556453,1.855444,0.6,"Large Decorated Barrel - A large, ornate barrel with metal accents and a complex locking mechanism on top."
barrel_small,dungeon,1.001364,1.017664,1.001364,0.6,"Small Barrel - A small, brown barrel with a simplistic design and two bands."
barrel_small_stack,dungeon,1.85014,1.770138,1,0.6,"Small Barrel Stack - Three small, brown barrels stacked with metal bands."
barrier,dungeon,4,1.1,0.5,0.6,"Barrier - A simple, dual-layered gray road barrier."
barrier_colum_half,dungeon,2.35,1.4,0.7,0.6,"Half Barrier - A half-length, dual-layered gray road barrier."
barrier_column,dungeon,4,1.4,0.7,0.6,Column Barrier - Two gray road barriers arranged in a column-like structure.
barrier_corner,dungeon,2.394975,1.4,2.394975,0.6,Corner Barrier - A set of gray road barriers arranged to form a corner.
barrier_half,dungeon,2,1.1,0.5000001,0.6,Half Barrier (Different Angle) - A half-length road barrier viewed from a different angle.
base,city,2,0.1000001,2,4,"Base - A flat, gray square base, possibly for models or statues."
bed_decorated,dungeon,2.606322,1.700795,3.057248,0.6,Bed Decorated - A bed with a desk on the side
bed_double_A,furniture,3.1,0.9999999,3,0.7,Double Bed A - A double bed with blue bedding and a split headrest.
bed_double_B,furniture,3.1,0.9999999,3,0.7,Double Bed B - Another double bed with blue bedding and integrated side tables.
bed_floor,dungeon,1.5,0.5626321,3,0.6,Bed Floor - A mattress and pillow directly on the floor without a bed frame.
bed_frame,dungeon,1.5,1.062632,3,0.6,Bed Frame - A basic brown bed frame without a mattress.
bed_single_A,furniture,1.6,0.9999999,3,0.7,Single Bed A - A single bed with a blue mattress and pillow.
bed_single_B,furniture,1.6,0.9999999,3,0.7,"Single Bed B - Another single bed with a blue mattress, pillow, and a raised headrest."
bench,halloween,2.000011,0.5,0.75,0.6,"Bench - A simple, brown wooden bench."
bench,city,0.4,0.1,0.1500001,4,Bench 1 - A different brown wooden bench with a backrest.
bench_decorated,halloween,2.000011,1.677272,1.016946,0.6,Decorated Bench - A wooden bench with armrests and decorative elements.
bone_A,halloween,0.7069888,0.2760803,0.2006664,0.6,Bone A - A cartoon-style bone with two enlarged ends.
bone_B,halloween,0.6063,0.174661,0.2866724,0.6,"Bone B - Another cartoon-style bone, slightly curved."
bone_C,halloween,1.106989,0.2760803,0.2006664,0.6,Bone C - A third variant of the cartoon-style bone with a distinct bend.
book_set,furniture,0.78,0.4999999,0.365,0.7,Book Set - A set of vertically arranged books in various colors.
book_single,furniture,0.26,0.4999999,0.365,0.7,"Single Book - A single, thick orange book standing upright."
bottle_A_brown,dungeon,0.3684101,0.8857132,0.3684101,0.6,Brown Bottle A - A tapered brown bottle with a round stopper.
bottle_A_green,dungeon,0.3684101,0.8857132,0.3684101,0.6,Green Bottle A - A tapered green bottle with a round stopper.
bottle_A_labeled_brown,dungeon,0.3684101,0.8857132,0.3684101,0.6,Labeled Brown Bottle A - A brown bottle with a label and round stopper.
bottle_A_labeled_green,dungeon,0.3684101,0.8857132,0.3684101,0.6,Labeled Green Bottle A - A green bottle with a label and round stopper.
bottle_B_brown,dungeon,0.5527547,0.8857132,0.5527547,0.6,Brown Bottle B - A bulbous brown bottle with a tapered neck and round stopper.
bottle_B_green,dungeon,0.5527547,0.8857132,0.5527547,0.6,Green Bottle B - A bulbous green bottle with a tapered neck and round stopper.
bottle_C_brown,dungeon,0.7370062,0.9061971,0.7370063,0.6,Brown Bottle C - A stout brown bottle with a round stopper.
bottle_C_green,dungeon,0.7370062,0.9061971,0.7370063,0.6,Green Bottle C - A stout green bottle with a round stopper.
Box_A,prototype,0.4561763,0.5088968,0.4631945,0.75,Box A - A closed plain brown cardboard box.
box_A,city,0.2,0.1764012,0.203077,4,Box A 1 - A slightly larger closed plain brown cardboard box.
Box_B,prototype,0.6000001,0.4022294,0.406154,0.75,"Box B - A closed brown cardboard box, longer in length."
box_B,city,0.1520588,0.1696323,0.1543982,4,Box B 1 - A simple brown cardboard box with closed flaps.
Box_C,prototype,0.8000001,0.4022294,0.6061541,0.75,Box C - A cardboard box with white labeling and sealed with tape.
